target,source,weight
水野美纪,大后寿寿花,2
武内健,桐井大介,2
水野美纪,北村一辉,2
吹越满,中越典子,2
水桥研二,长塚京三,2
茅原实里,武内健,2
吹越满,东出昌大,2
小林薰,柄本佑,2
长泽雅美,大泉洋,2
京田尚子,江森浩子,2
田中泯,岸井雪乃,2
茅原实里,植田佳奈,2
茅原实里,森训久,2
长山蓝子,泉品子,2
小日向文世,梶原善,2
吹石一惠,佐藤健,2
向井理,野际阳子,2
长谷川步,笹本优子,2
长谷川步,谷山纪章,2
长谷川步,落合弘治,2
长谷川步,荻原秀树,2
长谷川步,草尾毅,2
长谷川步,茅原实里,2
吉田羊,坂口健太郎,2
田中泯,黑木华,2
吉田羊,大杉涟,2
长谷川步,羽多野涉,2
芦名星,杉本哲太,2
小日向文世,远藤宪一,2
吉田羊,大森南朋,2
茅原实里,堀内贤雄,2
长谷川步,植田佳奈,2
长谷川步,森训久,2
茅原实里,咲野俊介,2
长谷川步,森田成一,2
武田铁矢,绫濑遥,2
长谷川步,桐井大介,2
长塚京三,野村宏伸,2
吉田羊,草笛光子,2
长谷川步,远藤久美子,2
长谷川步,远近孝一,2
武田铁矢,桐谷健太,2
茅原实里,川田绅司,2
长濑智也,京野琴美,2
向井理,片冈鹤太郎,2
小日向文世,长泽雅美,2
茅原实里,岩村琴美,2
田口淳之介,里见浩太朗,2
田口淳之介,矢野圣人,2
田口淳之介,生濑胜久,2
二阶堂富美,臼田麻美,2
田口淳之介,新垣结衣,2
长塚圭史,田中泯,2
武田铁矢,小出惠介,2
京田尚子,矢田耕司,2
田口淳之介,小池荣子,2
长谷川步,铃村健一,2
京田尚子,稻叶实,2
比嘉爱未,胜村政信,2
长谷川步,野田顺子,2
田中泯,长塚圭史,2
吉田钢太郎,松坂桃李,2
白本彩奈,坂本真,2
樱井幸子,赤井英和,2
堀内贤雄,咲野俊介,2
堀内贤雄,下山吉光,2
木村多江,小日向文世,2
家弓家正,藤田淑子,2
堀内贤雄,保志总一朗,2
堀内贤雄,保村真,2
中村友理,木下邦家,2
木村多江,谷原章介,2
织本顺吉,久保田磨希,2
堀内贤雄,宫田幸季,2
堀内贤雄,岩村琴美,2
堀内贤雄,川田绅司,2
堀内贤雄,本多阳子,2
堀内贤雄,朴璐美,2
家弓家正,折笠富美子,2
织本顺吉,中井贵一,2
织本顺吉,佐津川爱美,2
木村拓哉,八岛智人,2
织本顺吉,白本彩奈,2
木村佳乃,高桥一生,2
香川照之,笑福亭鹤瓶,2
森次晃嗣,黑部进,2
香川照之,高桥和也,2
织田裕二,千堂秋穗,2
织本顺吉,饭岛直子,2
织本顺吉,渡边真起子,2
织本顺吉,内田有纪,2
织本顺吉,浅野和之,2
织本顺吉,森口博子,2
香椎由宇,柄本佑,2
织本顺吉,坂本真,2
织本顺吉,坂口宪二,2
森本治行,广末凉子,2
堀内贤雄,桐井大介,2
堀内贤雄,森田成一,2
宫迫博之,高桥一生,2
堀内贤雄,长谷川步,2
木村拓哉,柴崎幸,2
堀内贤雄,野田顺子,2
高乃丽,岛田敏,2
森川智之,森田成一,2
堀内贤雄,铃村健一,2
森川智之,朴璐美,2
高乃丽,梁田清之,2
堀内贤雄,远近孝一,2
木村拓哉,深津绘里,2
木村拓哉,稻森泉,2
森川智之,咲野俊介,2
堀北真希,大泉洋,2
木村拓哉,铃木京香,2
木村拓哉,阿部宽,2
木村拓哉,明石家秋刀鱼,2
堀内贤雄,远藤久美子,2
堀内贤雄,森训久,2
堀内贤雄,笹本优子,2
堀内贤雄,植田佳奈,2
中村勘九郎,役所广司,2
马渕英俚可,京野琴美,2
森川智之,野田顺子,2
马渕英俚可,柏原崇,2
马渕英俚可,酒井美纪,2
森川智之,落合弘治,2
堀内贤雄,谷山纪章,2
堀内贤雄,羽多野涉,2
堀内贤雄,茅原实里,2
堀内贤雄,草尾毅,2
堀内贤雄,荻原秀树,2
森川智之,羽多野涉,2
堀内贤雄,落合弘治,2
香川照之,石原里美,2
香川照之,石丸干二,2
相叶雅纪,樱井翔,2
中村狮童,片桐入,2
森训久,桐井大介,2
森训久,朴璐美,2
森训久,本多阳子,2
富泽美智惠,八奈见乘儿,2
森训久,川田绅司,2
森训久,岩村琴美,2
森训久,宫田幸季,2
森训久,植田佳奈,2
富泽美智惠,京田尚子,2
森训久,堀内贤雄,2
富泽美智惠,中岛千里,2
森训久,咲野俊介,2
中村狮童,小泉今日子,2
森训久,保村真,2
森训久,森田成一,2
盐屋翼,千叶繁,2
木村佳乃,石田百合子,2
饭岛直子,白本彩奈,2
饭岛直子,坂口宪二,2
饭岛直子,坂本真,2
森训久,谷山纪章,2
饭岛直子,森口博子,2
饭岛直子,浅野和之,2
饭岛直子,渡边真起子,2
饭岛直子,织本顺吉,2
绪方贤一,盐屋翼,2
森训久,落合弘治,2
森训久,荻原秀树,2
森训久,草尾毅,2
森训久,茅原实里,2
